comboId,docId,annotId,annotSet,annotType,annotSpan,subSpanType,linkId,linkSpan,subSpan,unit,unitEncoded,misc
S0019103512003533-5598_T72-2,S0019103512003533-5598,T72-2,2,Qualifier,"[842, 880]",Qualifies,T42-2,"[804, 827]","[804, 880]",,,
S0019103512003533-5598_T82-2,S0019103512003533-5598,T82-2,2,Qualifier,"[828, 836]",Qualifies,T22-2,"[884, 889]","[828, 889]",,,
S0019103512003533-5598_T13-3,S0019103512003533-5598,T13-3,3,Quantity,"[988, 993]",,,,,K,[530],
S0019103512003533-5598_T43-3,S0019103512003533-5598,T43-3,3,MeasuredProperty,"[804, 827]",HasQuantity,T13-3,"[988, 993]","[804, 993]",,,
S0019103512003533-5598_T123-3,S0019103512003533-5598,T123-3,3,MeasuredEntity,"[770, 795]",HasProperty,T43-3,"[804, 827]","[770, 827]",,,
S0019103512003533-5598_T103-3,S0019103512003533-5598,T103-3,3,Qualifier,"[907, 970]",Qualifies,T43-3,"[804, 827]","[804, 970]",,,
S0019103512003533-5598_T93-3,S0019103512003533-5598,T93-3,3,Qualifier,"[897, 906]",Qualifies,T13-3,"[988, 993]","[897, 993]",,,
S0019103512003533-5598_T34-4,S0019103512003533-5598,T34-4,4,Quantity,"[1014, 1018]",,,,,K,[530],
S0019103512003533-5598_T114-4,S0019103512003533-5598,T114-4,4,MeasuredEntity,"[1000, 1010]",HasQuantity,T34-4,"[1014, 1018]","[1000, 1018]",,,
S0019103512003995-1237_T1-1,S0019103512003995-1237,T1-1,1,Quantity,"[237, 252]",,,,,m−2,"[119, 47677, 176]",
S0019103512003995-1237_T4-1,S0019103512003995-1237,T4-1,1,MeasuredProperty,"[189, 203]",HasQuantity,T1-1,"[237, 252]","[189, 252]",,,
S0019103512003995-1237_T3-1,S0019103512003995-1237,T3-1,1,MeasuredEntity,"[207, 233]",HasProperty,T4-1,"[189, 203]","[189, 233]",,,
S0019103512003995-1237_T1-2,S0019103512003995-1237,T1-2,2,Quantity,"[312, 323]",,,,,km s−1,"[7203, 579, 47677, 134]",
S0019103512003995-1237_T3-2,S0019103512003995-1237,T3-2,2,MeasuredProperty,"[258, 275]",HasQuantity,T1-2,"[312, 323]","[258, 323]",,,
S0019103512003995-1237_T4-2,S0019103512003995-1237,T4-2,2,MeasuredEntity,"[283, 286]",HasProperty,T3-2,"[258, 275]","[258, 286]",,,
S0019103512003995-1237_T5-2,S0019103512003995-1237,T5-2,2,Qualifier,"[292, 308]",Qualifies,T3-2,"[258, 275]","[258, 308]",,,
S0019103512003995-1237_T1-3,S0019103512003995-1237,T1-3,3,Quantity,"[388, 399]",,,,,km s−1,"[7203, 579, 47677, 134]",
S0019103512003995-1237_T2-3,S0019103512003995-1237,T2-3,3,MeasuredProperty,"[332, 358]",HasQuantity,T1-3,"[388, 399]","[332, 399]",,,
S0019103512003995-1237_T3-3,S0019103512003995-1237,T3-3,3,MeasuredEntity,"[359, 384]",HasProperty,T2-3,"[332, 358]","[332, 384]",,,
S0019103512003995-1237_T1-4,S0019103512003995-1237,T1-4,4,Quantity,"[607, 613]",,,,,R,[500],
S0019103512003995-1237_T2-4,S0019103512003995-1237,T2-4,4,MeasuredEntity,"[580, 599]",HasQuantity,T1-4,"[607, 613]","[580, 613]",,,
S0019103512003995-1283_T1-1,S0019103512003995-1283,T1-1,1,Quantity,"[149, 155]",,,,,K,[530],
S0019103512003995-1283_T3-1,S0019103512003995-1283,T3-1,1,MeasuredProperty,"[129, 145]",HasQuantity,T1-1,"[149, 155]","[129, 155]",,,
S0019103512003995-1283_T2-1,S0019103512003995-1283,T2-1,1,MeasuredEntity,"[99, 121]",HasProperty,T3-1,"[129, 145]","[99, 145]",,,
S0019103512003995-1767_T1-1,S0019103512003995-1767,T1-1,1,Quantity,"[240, 247]",,,,,nm,[28235],
S0019103512003995-1767_T4-1,S0019103512003995-1767,T4-1,1,MeasuredProperty,"[248, 252]",HasQuantity,T1-1,"[240, 247]","[240, 252]",,,
S0019103512003995-1767_T3-1,S0019103512003995-1767,T3-1,1,MeasuredEntity,"[237, 239]",HasProperty,T4-1,"[248, 252]","[237, 252]",,,
S0019103512003995-1807_T11-1,S0019103512003995-1807,T11-1,1,Quantity,"[323, 331]",,,,,nm,[28235],
S0019103512003995-1807_T31-1,S0019103512003995-1807,T31-1,1,MeasuredProperty,"[332, 341]",HasQuantity,T11-1,"[323, 331]","[323, 341]",,,
S0019103512003995-1807_T41-1,S0019103512003995-1807,T41-1,1,MeasuredEntity,"[318, 322]",HasProperty,T31-1,"[332, 341]","[318, 341]",,,
S0019103512003995-1807_T122-2,S0019103512003995-1807,T122-2,2,Quantity,"[421, 425]",,,,,,,{'mods': ['IsCount']}
S0019103512003995-1807_T112-2,S0019103512003995-1807,T112-2,2,MeasuredEntity,"[426, 434]",HasQuantity,T122-2,"[421, 425]","[421, 434]",,,
S0019103512003995-1807_T23-3,S0019103512003995-1807,T23-3,3,Quantity,"[753, 763]",,,,,nm,[28235],
S0019103512003995-1807_T53-3,S0019103512003995-1807,T53-3,3,MeasuredProperty,"[738, 749]",HasQuantity,T23-3,"[753, 763]","[738, 763]",,,
S0019103512003995-1807_T63-3,S0019103512003995-1807,T63-3,3,MeasuredEntity,"[700, 734]",HasProperty,T53-3,"[738, 749]","[700, 749]",,,
S0019103512003995-1807_T84-4,S0019103512003995-1807,T84-4,4,Quantity,"[846, 852]",,,,,mbar,"[6648, 271]",
S0019103512003995-1807_T94-4,S0019103512003995-1807,T94-4,4,MeasuredEntity,"[853, 858]",HasQuantity,T84-4,"[846, 852]","[846, 858]",,,
S0019103512003995-1807_T74-4,S0019103512003995-1807,T74-4,4,Qualifier,"[813, 823]",Qualifies,T94-4,"[853, 858]","[813, 858]",,,
S0019103512003995-1910_T71-1,S0019103512003995-1910,T71-1,1,Quantity,"[112, 127]",,,,,,,{'mods': ['IsCount']}
S0019103512003995-1910_T81-1,S0019103512003995-1910,T81-1,1,MeasuredEntity,"[128, 140]",HasQuantity,T71-1,"[112, 127]","[112, 140]",,,
S0019103512003995-1910_T91-1,S0019103512003995-1910,T91-1,1,Qualifier,"[141, 162]",Qualifies,T81-1,"[128, 140]","[128, 162]",,,
S0019103512003995-1910_T102-2,S0019103512003995-1910,T102-2,2,Quantity,"[141, 162]",,,,,,,{'mods': ['IsRange']}
S0019103512003995-1910_T1-2,S0019103512003995-1910,T1-2,2,MeasuredEntity,"[80, 102]",HasQuantity,T102-2,"[141, 162]","[80, 162]",,,
S0019103512003995-1910_T13-3,S0019103512003995-1910,T13-3,3,Quantity,"[211, 221]",,,,,,,{'mods': ['IsRange']}
S0019103512003995-1910_T113-3,S0019103512003995-1910,T113-3,3,MeasuredProperty,"[184, 195]",HasQuantity,T13-3,"[211, 221]","[184, 221]",,,
S0019103512003995-1910_T123-3,S0019103512003995-1910,T123-3,3,MeasuredEntity,"[53, 70]",HasProperty,T113-3,"[184, 195]","[53, 195]",,,
S0019103512003995-1910_T43-3,S0019103512003995-1910,T43-3,3,Qualifier,"[222, 257]",Qualifies,T113-3,"[184, 195]","[184, 257]",,,
S0019103512003995-1910_T134-4,S0019103512003995-1910,T134-4,4,Quantity,"[229, 232]",,,,,,,{'mods': ['IsCount']}
S0019103512003995-1910_T144-4,S0019103512003995-1910,T144-4,4,MeasuredEntity,"[233, 257]",HasQuantity,T134-4,"[229, 232]","[229, 257]",,,
S0019103512003995-1910_T35-5,S0019103512003995-1910,T35-5,5,Quantity,"[259, 266]",,,,,days,[7033],
S0019103512003995-1910_T145-5,S0019103512003995-1910,T145-5,5,MeasuredEntity,"[233, 257]",HasQuantity,T35-5,"[259, 266]","[233, 266]",,,
S0019103512003995-1910_T196-6,S0019103512003995-1910,T196-6,6,Quantity,"[304, 307]",,,,,,,{'mods': ['IsCount']}
S0019103512003995-1910_T206-6,S0019103512003995-1910,T206-6,6,MeasuredEntity,"[308, 322]",HasQuantity,T196-6,"[304, 307]","[304, 322]",,,
S0019103512003995-1910_T27-7,S0019103512003995-1910,T27-7,7,Quantity,"[339, 345]",,,,,%,[207],
S0019103512003995-1910_T177-7,S0019103512003995-1910,T177-7,7,MeasuredProperty,"[285, 296]",HasQuantity,T27-7,"[339, 345]","[285, 345]",,,
S0019103512003995-1910_T127-7,S0019103512003995-1910,T127-7,7,MeasuredEntity,"[53, 70]",HasProperty,T177-7,"[285, 296]","[53, 296]",,,
S0019103512003995-1910_T187-7,S0019103512003995-1910,T187-7,7,Qualifier,"[297, 322]",Qualifies,T177-7,"[285, 296]","[285, 322]",,,
S0019103512003995-1910_T157-7,S0019103512003995-1910,T157-7,7,Qualifier,"[277, 284]",Qualifies,T27-7,"[339, 345]","[277, 345]",,,
S0019103512003995-1910_T58-8,S0019103512003995-1910,T58-8,8,Quantity,"[493, 504]",,,,,days,[7033],
S0019103512003995-1910_T228-8,S0019103512003995-1910,T228-8,8,MeasuredProperty,"[446, 461]",HasQuantity,T58-8,"[493, 504]","[446, 504]",,,
S0019103512003995-1910_T168-8,S0019103512003995-1910,T168-8,8,MeasuredEntity,"[465, 473]",HasProperty,T228-8,"[446, 461]","[446, 473]",,,
S0019103512003995-1910_T278-8,S0019103512003995-1910,T278-8,8,Qualifier,"[477, 486]",Qualifies,T228-8,"[446, 461]","[446, 486]",,,
S0019103512003995-1910_T249-9,S0019103512003995-1910,T249-9,9,Quantity,"[557, 562]",,,,,,,{'mods': ['IsCount']}
S0019103512003995-1910_T219-9,S0019103512003995-1910,T219-9,9,MeasuredEntity,"[573, 581]",HasQuantity,T249-9,"[557, 562]","[557, 581]",,,
S0019103512003995-1910_T2610-10,S0019103512003995-1910,T2610-10,10,Quantity,"[597, 622]",,,,,month,[2151],
S0019103512003995-1910_T2310-10,S0019103512003995-1910,T2310-10,10,MeasuredProperty,"[586, 596]",HasQuantity,T2610-10,"[597, 622]","[586, 622]",,,
S0019103512003995-1910_T2910-10,S0019103512003995-1910,T2910-10,10,MeasuredEntity,"[530, 548]",HasProperty,T2310-10,"[586, 596]","[530, 596]",,,
S0019103512003995-1910_T611-11,S0019103512003995-1910,T611-11,11,Quantity,"[649, 666]",,,,,h,[298],
S0019103512003995-1910_T2511-11,S0019103512003995-1910,T2511-11,11,MeasuredProperty,"[670, 674]",HasQuantity,T611-11,"[649, 666]","[649, 674]",,,
S0019103512003995-1910_T3011-11,S0019103512003995-1910,T3011-11,11,MeasuredEntity,"[629, 640]",HasProperty,T2511-11,"[670, 674]","[629, 674]",,,
S0019103512003995-2096_T1-1,S0019103512003995-2096,T1-1,1,Quantity,"[637, 647]",,,,,μbar,"[47049, 4901]",
S0019103512003995-2096_T2-1,S0019103512003995-2096,T2-1,1,MeasuredProperty,"[583, 597]",HasQuantity,T1-1,"[637, 647]","[583, 647]",,,
S0019103512003995-2096_T3-1,S0019103512003995-2096,T3-1,1,MeasuredEntity,"[605, 625]",HasProperty,T2-1,"[583, 597]","[583, 625]",,,
S0019103512003995-2096_T1-2,S0019103512003995-2096,T1-2,2,Quantity,"[693, 705]",,,,,K,[530],
S0019103512003995-2096_T2-2,S0019103512003995-2096,T2-2,2,MeasuredProperty,"[653, 669]",HasQuantity,T1-2,"[693, 705]","[653, 705]",,,
S0019103512003995-2096_T3-2,S0019103512003995-2096,T3-2,2,MeasuredEntity,"[605, 625]",HasProperty,T2-2,"[653, 669]","[605, 669]",,,
S0019103512003995-2096_T1-3,S0019103512003995-2096,T1-3,3,Quantity,"[741, 746]",,,,,Rp,"[500, 642]",
S0019103512003995-2096_T2-3,S0019103512003995-2096,T2-3,3,MeasuredProperty,"[715, 729]",HasQuantity,T1-3,"[741, 746]","[715, 746]",,,
S0019103512003995-2096_T3-3,S0019103512003995-2096,T3-3,3,MeasuredEntity,"[605, 625]",HasProperty,T2-3,"[715, 729]","[605, 729]",,,
S0019103512003995-2096_T1-4,S0019103512003995-2096,T1-4,4,Quantity,"[808, 823]",,,,,μbar,"[47049, 4901]",
S0019103512003995-2096_T4-4,S0019103512003995-2096,T4-4,4,MeasuredProperty,"[796, 807]",HasQuantity,T1-4,"[808, 823]","[796, 823]",,,
S0019103512003995-2096_T3-4,S0019103512003995-2096,T3-4,4,MeasuredEntity,"[793, 795]",HasProperty,T4-4,"[796, 807]","[793, 807]",,,
S0019103512003995-2096_T1-5,S0019103512003995-2096,T1-5,5,Quantity,"[1049, 1069]",,,,,K,[530],
S0019103512003995-2096_T2-5,S0019103512003995-2096,T2-5,5,MeasuredProperty,"[996, 1012]",HasQuantity,T1-5,"[1049, 1069]","[996, 1069]",,,
S0019103512003995-2096_T3-5,S0019103512003995-2096,T3-5,5,MeasuredEntity,"[1020, 1045]",HasProperty,T2-5,"[996, 1012]","[996, 1045]",,,
S0019103512003995-2579_T1-1,S0019103512003995-2579,T1-1,1,Quantity,"[562, 571]",,,,,3Rp,"[246, 500, 642]",
S0019103512003995-2579_T4-1,S0019103512003995-2579,T4-1,1,MeasuredProperty,"[538, 561]",HasQuantity,T1-1,"[562, 571]","[538, 571]",,,
S0019103512003995-2579_T2-1,S0019103512003995-2579,T2-1,1,MeasuredEntity,"[501, 516]",HasProperty,T4-1,"[538, 561]","[501, 561]",,,
S0019103512003995-2579_T3-1,S0019103512003995-2579,T3-1,1,Qualifier,"[490, 495]",Qualifies,T2-1,"[501, 516]","[490, 516]",,,
S0019103512003995-2579_T1-2,S0019103512003995-2579,T1-2,2,Quantity,"[673, 679]",,,,,K,[530],
S0019103512003995-2579_T3-2,S0019103512003995-2579,T3-2,2,MeasuredProperty,"[653, 669]",HasQuantity,T1-2,"[673, 679]","[653, 679]",,,
S0019103512003995-2579_T4-2,S0019103512003995-2579,T4-2,2,MeasuredEntity,"[586, 625]",HasProperty,T3-2,"[653, 669]","[586, 669]",,,
S0019103512003995-2681_T1-1,S0019103512003995-2681,T1-1,1,Quantity,"[199, 202]",,,,,Rp,"[500, 642]",
S0019103512003995-2681_T3-1,S0019103512003995-2681,T3-1,1,MeasuredProperty,"[183, 195]",HasQuantity,T1-1,"[199, 202]","[183, 202]",,,
S0019103512003995-2681_T5-1,S0019103512003995-2681,T5-1,1,MeasuredEntity,"[226, 234]",HasProperty,T3-1,"[183, 195]","[183, 234]",,,
S0019103512003995-2681_T4-1,S0019103512003995-2681,T4-1,1,Qualifier,"[211, 220]",Qualifies,T3-1,"[183, 195]","[183, 220]",,,
S0019103512003995-2681_T1-2,S0019103512003995-2681,T1-2,2,Quantity,"[276, 280]",,,,,%,[207],
S0019103512003995-2681_T2-2,S0019103512003995-2681,T2-2,2,MeasuredProperty,"[242, 272]",HasQuantity,T1-2,"[276, 280]","[242, 280]",,,
S0019103512003995-2681_T3-2,S0019103512003995-2681,T3-2,2,MeasuredEntity,"[226, 234]",HasProperty,T2-2,"[242, 272]","[226, 272]",,,
S0019103512003995-2681_T4-2,S0019103512003995-2681,T4-2,2,Qualifier,"[302, 315]",Qualifies,T2-2,"[242, 272]","[242, 315]",,,
S0019103512003995-2681_T5-2,S0019103512003995-2681,T5-2,2,Qualifier,"[364, 389]",Qualifies,T3-2,"[226, 234]","[226, 389]",,,
S0019103512003995-2681_T1-3,S0019103512003995-2681,T1-3,3,Quantity,"[282, 284]",,,,,%,[207],
S0019103512003995-2681_T3-3,S0019103512003995-2681,T3-3,3,MeasuredProperty,"[242, 272]",HasQuantity,T1-3,"[282, 284]","[242, 284]",,,
S0019103512003995-2681_T2-3,S0019103512003995-2681,T2-3,3,MeasuredEntity,"[226, 234]",HasProperty,T3-3,"[242, 272]","[226, 272]",,,
S0019103512003995-2681_T5-3,S0019103512003995-2681,T5-3,3,Qualifier,"[364, 389]",Qualifies,T2-3,"[226, 234]","[226, 389]",,,
S0019103512003995-2681_T4-3,S0019103512003995-2681,T4-3,3,Qualifier,"[317, 330]",Qualifies,T3-3,"[242, 272]","[242, 330]",,,
S0019103512003995-2681_T1-4,S0019103512003995-2681,T1-4,4,Quantity,"[290, 294]",,,,,%,[207],
S0019103512003995-2681_T3-4,S0019103512003995-2681,T3-4,4,MeasuredProperty,"[242, 272]",HasQuantity,T1-4,"[290, 294]","[242, 294]",,,
S0019103512003995-2681_T2-4,S0019103512003995-2681,T2-4,4,MeasuredEntity,"[226, 234]",HasProperty,T3-4,"[242, 272]","[226, 272]",,,
S0019103512003995-2681_T4-4,S0019103512003995-2681,T4-4,4,Qualifier,"[336, 342]",Qualifies,T3-4,"[242, 272]","[242, 342]",,,
S0019103512003995-2681_T5-4,S0019103512003995-2681,T5-4,4,Qualifier,"[367, 389]",Qualifies,T2-4,"[226, 234]","[226, 389]",,,
S0019103512003995-2681_T1-5,S0019103512003995-2681,T1-5,5,Quantity,"[367, 370]",,,,,%,[207],
S0019103512003995-2681_T3-5,S0019103512003995-2681,T3-5,5,MeasuredProperty,"[385, 389]",HasQuantity,T1-5,"[367, 370]","[367, 389]",,,
S0019103512003995-2681_T2-5,S0019103512003995-2681,T2-5,5,MeasuredEntity,"[374, 381]",HasProperty,T3-5,"[385, 389]","[374, 389]",,,
S0019103512003995-2681_T1-6,S0019103512003995-2681,T1-6,6,Quantity,"[514, 517]",,,,,Rp,"[500, 642]",
S0019103512003995-2681_T4-6,S0019103512003995-2681,T4-6,6,MeasuredProperty,"[482, 494]",HasQuantity,T1-6,"[514, 517]","[482, 517]",,,
S0019103512003995-2681_T3-6,S0019103512003995-2681,T3-6,6,MeasuredEntity,"[502, 510]",HasProperty,T4-6,"[482, 494]","[482, 510]",,,
S0019103512003995-2681_T1-7,S0019103512003995-2681,T1-7,7,Quantity,"[549, 553]",,,,,%,[207],
S0019103512003995-2681_T3-7,S0019103512003995-2681,T3-7,7,MeasuredProperty,"[531, 545]",HasQuantity,T1-7,"[549, 553]","[531, 553]",,,
S0019103512003995-2681_T2-7,S0019103512003995-2681,T2-7,7,MeasuredEntity,"[502, 510]",HasProperty,T3-7,"[531, 545]","[502, 545]",,,
S0019103512003995-2681_T4-7,S0019103512003995-2681,T4-7,7,Qualifier,"[577, 590]",Qualifies,T3-7,"[531, 545]","[531, 590]",,,
S0019103512003995-2681_T1-8,S0019103512003995-2681,T1-8,8,Quantity,"[555, 559]",,,,,%,[207],
S0019103512003995-2681_T3-8,S0019103512003995-2681,T3-8,8,MeasuredProperty,"[531, 545]",HasQuantity,T1-8,"[555, 559]","[531, 559]",,,
S0019103512003995-2681_T2-8,S0019103512003995-2681,T2-8,8,MeasuredEntity,"[502, 510]",HasProperty,T3-8,"[531, 545]","[502, 545]",,,
S0019103512003995-2681_T4-8,S0019103512003995-2681,T4-8,8,Qualifier,"[592, 605]",Qualifies,T3-8,"[531, 545]","[531, 605]",,,
S0019103512003995-2681_T1-9,S0019103512003995-2681,T1-9,9,Quantity,"[565, 569]",,,,,%,[207],
S0019103512003995-2681_T3-9,S0019103512003995-2681,T3-9,9,MeasuredProperty,"[531, 545]",HasQuantity,T1-9,"[565, 569]","[531, 569]",,,
S0019103512003995-2681_T2-9,S0019103512003995-2681,T2-9,9,MeasuredEntity,"[502, 510]",HasProperty,T3-9,"[531, 545]","[502, 545]",,,
S0019103512003995-2681_T4-9,S0019103512003995-2681,T4-9,9,Qualifier,"[611, 617]",Qualifies,T3-9,"[531, 545]","[531, 617]",,,
S0019103512003995-2681_T1-10,S0019103512003995-2681,T1-10,10,Quantity,"[831, 837]",,,,,K,[530],
S0019103512003995-2681_T3-10,S0019103512003995-2681,T3-10,10,MeasuredProperty,"[811, 827]",HasQuantity,T1-10,"[831, 837]","[811, 837]",,,
S0019103512003995-2681_T4-10,S0019103512003995-2681,T4-10,10,MeasuredEntity,"[772, 780]",HasProperty,T3-10,"[811, 827]","[772, 827]",,,
S0019103512003995-2737_T1-1,S0019103512003995-2737,T1-1,1,Quantity,"[110, 114]",,,,,,,{'mods': ['IsRange']}
S0019103512003995-2737_T2-1,S0019103512003995-2737,T2-1,1,MeasuredProperty,"[115, 123]",HasQuantity,T1-1,"[110, 114]","[110, 123]",,,
S0019103512003995-2737_T3-1,S0019103512003995-2737,T3-1,1,MeasuredEntity,"[29, 91]",HasProperty,T2-1,"[115, 123]","[29, 123]",,,
S0019103512003995-2737_T4-1,S0019103512003995-2737,T4-1,1,Qualifier,"[124, 151]",Qualifies,T2-1,"[115, 123]","[115, 151]",,,
S0019103512003995-2737_T1-2,S0019103512003995-2737,T1-2,2,Quantity,"[182, 205]",,,,,K,[530],
S0019103512003995-2737_T3-2,S0019103512003995-2737,T3-2,2,MeasuredEntity,"[165, 181]",HasQuantity,T1-2,"[182, 205]","[165, 205]",,,
S0019103512003995-2737_T1-3,S0019103512003995-2737,T1-3,3,Quantity,"[812, 827]",,,,,kg s−1,"[9043, 579, 47677, 134]",
S0019103512003995-2737_T3-3,S0019103512003995-2737,T3-3,3,MeasuredProperty,"[798, 808]",HasQuantity,T1-3,"[812, 827]","[798, 827]",,,
S0019103512003995-2737_T4-3,S0019103512003995-2737,T4-3,3,MeasuredEntity,"[793, 797]",HasProperty,T3-3,"[798, 808]","[793, 808]",,,
S0019103512003995-2737_T1-4,S0019103512003995-2737,T1-4,4,Quantity,"[848, 855]",,,,,%,[207],
S0019103512003995-2737_T4-4,S0019103512003995-2737,T4-4,4,MeasuredProperty,"[840, 844]",HasQuantity,T1-4,"[848, 855]","[840, 855]",,,
S0019103512003995-2737_T3-4,S0019103512003995-2737,T3-4,4,MeasuredEntity,"[863, 876]",HasProperty,T4-4,"[840, 844]","[840, 876]",,,
S0019103512003995-2737_T5-4,S0019103512003995-2737,T5-4,4,Qualifier,"[877, 918]",Qualifies,T4-4,"[840, 844]","[840, 918]",,,
S0019103512003995-2737_T1-5,S0019103512003995-2737,T1-5,5,Quantity,"[973, 992]",,,,,times,[14616],
S0019103512003995-2737_T4-5,S0019103512003995-2737,T4-5,5,MeasuredProperty,"[956, 969]",HasQuantity,T1-5,"[973, 992]","[956, 992]",,,
S0019103512003995-2737_T3-5,S0019103512003995-2737,T3-5,5,MeasuredEntity,"[997, 1023]",HasProperty,T4-5,"[956, 969]","[956, 1023]",,,
S0019103512003995-2760_T11-1,S0019103512003995-2760,T11-1,1,Quantity,"[324, 333]",,,,,km s−1,"[7203, 579, 47677, 134]",
S0019103512003995-2760_T21-1,S0019103512003995-2760,T21-1,1,MeasuredProperty,"[299, 314]",HasQuantity,T11-1,"[324, 333]","[299, 333]",,,
S0019103512003995-2760_T31-1,S0019103512003995-2760,T31-1,1,MeasuredEntity,"[261, 271]",HasProperty,T21-1,"[299, 314]","[261, 314]",,,
S0019103512003995-2760_T41-1,S0019103512003995-2760,T41-1,1,Qualifier,"[334, 340]",Qualifies,T21-1,"[299, 314]","[299, 340]",,,
S0019103512003995-2760_T52-2,S0019103512003995-2760,T52-2,2,Quantity,"[337, 340]",,,,,Rp,"[500, 642]",
S0019103512003995-3548_T41-1,S0019103512003995-3548,T41-1,1,Quantity,"[651, 657]",,,,,μbar,"[47049, 4901]",
S0019103512003995-3548_T141-1,S0019103512003995-3548,T141-1,1,MeasuredProperty,"[639, 647]",HasQuantity,T41-1,"[651, 657]","[639, 657]",,,
S0019103512003995-3548_T51-1,S0019103512003995-3548,T51-1,1,MeasuredEntity,"[624, 637]",HasProperty,T141-1,"[639, 647]","[624, 647]",,,
S0019103512003995-3548_T12-2,S0019103512003995-3548,T12-2,2,Quantity,"[851, 863]",,,,,K,[530],
S0019103512003995-3548_T62-2,S0019103512003995-3548,T62-2,2,MeasuredProperty,"[836, 847]",HasQuantity,T12-2,"[851, 863]","[836, 863]",,,
S0019103512003995-3548_T72-2,S0019103512003995-3548,T72-2,2,MeasuredEntity,"[871, 893]",HasProperty,T62-2,"[836, 847]","[836, 893]",,,
S0019103512003995-3548_T102-2,S0019103512003995-3548,T102-2,2,Qualifier,"[831, 835]",Qualifies,T12-2,"[851, 863]","[831, 863]",,,
S0019103512003995-3548_T33-3,S0019103512003995-3548,T33-3,3,Quantity,"[1008, 1028]",,,,,K,[530],
S0019103512003995-3548_T113-3,S0019103512003995-3548,T113-3,3,MeasuredProperty,"[992, 1003]",HasQuantity,T33-3,"[1008, 1028]","[992, 1028]",,,
S0019103512003995-3548_T73-3,S0019103512003995-3548,T73-3,3,MeasuredEntity,"[871, 893]",HasProperty,T113-3,"[992, 1003]","[871, 1003]",,,
S0019103512003995-3548_T83-3,S0019103512003995-3548,T83-3,3,Qualifier,"[961, 966]",Qualifies,T113-3,"[992, 1003]","[961, 1003]",,,
S0019103512003995-3548_T24-4,S0019103512003995-3548,T24-4,4,Quantity,"[1033, 1041]",,,,,K,[530],
S0019103512003995-3548_T2-4,S0019103512003995-3548,T2-4,4,MeasuredProperty,"[992, 1003]",HasQuantity,T24-4,"[1033, 1041]","[992, 1041]",,,
S0019103512003995-3548_T3-4,S0019103512003995-3548,T3-4,4,MeasuredEntity,"[871, 893]",HasProperty,T2-4,"[992, 1003]","[871, 1003]",,,
S0019103512003995-3548_T94-4,S0019103512003995-3548,T94-4,4,Qualifier,"[971, 976]",Qualifies,T2-4,"[992, 1003]","[971, 1003]",,,
S0019103512003995-3548_T134-4,S0019103512003995-3548,T134-4,4,Qualifier,"[1008, 1021]",Qualifies,T24-4,"[1033, 1041]","[1008, 1041]",,,
S0019103512004009-2821_T1-1,S0019103512004009-2821,T1-1,1,Quantity,"[917, 923]",,,,,μbar,"[47049, 4901]",
S0019103512004009-2821_T3-1,S0019103512004009-2821,T3-1,1,MeasuredProperty,"[897, 907]",HasQuantity,T1-1,"[917, 923]","[897, 923]",,,
S0019103512004009-2821_T2-1,S0019103512004009-2821,T2-1,1,MeasuredEntity,"[887, 896]",HasProperty,T3-1,"[897, 907]","[887, 907]",,,
S0019103512004009-2821_T5-1,S0019103512004009-2821,T5-1,1,Qualifier,"[908, 912]",Qualifies,T1-1,"[917, 923]","[908, 923]",,,
S0019103512004009-2821_T1-2,S0019103512004009-2821,T1-2,2,Quantity,"[1389, 1407]",,,,,Rp,"[500, 642]",
S0019103512004009-2821_T5-2,S0019103512004009-2821,T5-2,2,MeasuredProperty,"[1368, 1388]",HasQuantity,T1-2,"[1389, 1407]","[1368, 1407]",,,
S0019103512004009-2821_T3-2,S0019103512004009-2821,T3-2,2,MeasuredEntity,"[1359, 1366]",HasProperty,T5-2,"[1368, 1388]","[1359, 1388]",,,
S0019103512004009-2821_T1-3,S0019103512004009-2821,T1-3,3,Quantity,"[1691, 1697]",,,,,K,[530],
S0019103512004009-2821_T5-3,S0019103512004009-2821,T5-3,3,MeasuredProperty,"[1706, 1742]",HasQuantity,T1-3,"[1691, 1697]","[1691, 1742]",,,
S0019103512004009-2821_T2-3,S0019103512004009-2821,T2-3,3,MeasuredEntity,"[1658, 1672]",HasProperty,T5-3,"[1706, 1742]","[1658, 1742]",,,
S0019103512004009-2821_T3-3,S0019103512004009-2821,T3-3,3,Qualifier,"[1676, 1687]",Qualifies,T1-3,"[1691, 1697]","[1676, 1697]",,,
S0019103512004009-2821_T6-3,S0019103512004009-2821,T6-3,3,Qualifier,"[1743, 1752]",Qualifies,T2-3,"[1658, 1672]","[1658, 1752]",,,
S0019103512004009-2821_T1-4,S0019103512004009-2821,T1-4,4,Quantity,"[1749, 1752]",,,,,Rp,"[500, 642]",
S0019103512004009-2821_T2-4,S0019103512004009-2821,T2-4,4,MeasuredEntity,"[1658, 1672]",HasQuantity,T1-4,"[1749, 1752]","[1658, 1752]",,,
S0019103512004009-2821_T3-4,S0019103512004009-2821,T3-4,4,Qualifier,"[1743, 1748]",Qualifies,T1-4,"[1749, 1752]","[1743, 1752]",,,
S0019103512004009-2821_T1-5,S0019103512004009-2821,T1-5,5,Quantity,"[1778, 1784]",,,,,K,[530],
S0019103512004009-2821_T3-5,S0019103512004009-2821,T3-5,5,MeasuredProperty,"[1706, 1742]",HasQuantity,T1-5,"[1778, 1784]","[1706, 1784]",,,
